code,name,tree
9000,民事案由（2011版）,9000-
9001,人格权纠纷,9001-9000-
9002,人格权纠纷,9002-9001-9000-
9003,生命权、健康权、身体权纠纷,9003-9002-9001-9000-
9004,姓名权纠纷,9004-9002-9001-9000-
9005,肖像权纠纷,9005-9002-9001-9000-
9006,名誉权纠纷,9006-9002-9001-9000-
9007,荣誉权纠纷,9007-9002-9001-9000-
9008,隐私权纠纷,9008-9002-9001-9000-
9009,婚姻自主权纠纷,9009-9002-9001-9000-
9010,人身自由权纠纷,9010-9002-9001-9000-
9011,一般人格权纠纷,9011-9002-9001-9000-
9012,婚姻家庭、继承纠纷,9012-9000-
9013,婚姻家庭纠纷,9013-9012-9000-
9014,婚约财产纠纷,9014-9013-9012-9000-
9015,离婚纠纷,9015-9013-9012-9000-
9016,离婚后财产纠纷,9016-9013-9012-9000-
9017,离婚后损害责任纠纷,9017-9013-9012-9000-
9018,婚姻无效纠纷,9018-9013-9012-9000-
9019,撤销婚姻纠纷,9019-9013-9012-9000-
9020,夫妻财产约定纠纷,9020-9013-9012-9000-
9021,同居关系纠纷,9021-9013-9012-9000-
9022,同居关系析产纠纷,9022-9021-9013-9012-9000-
9023,同居关系子女抚养纠纷,9023-9021-9013-9012-9000-
9024,抚养纠纷,9024-9013-9012-9000-
9025,抚养费纠纷,9025-9024-9013-9012-9000-
9026,变更抚养关系纠纷,9026-9024-9013-9012-9000-
9027,扶养纠纷,9027-9013-9012-9000-
9028,扶养费纠纷,9028-9027-9013-9012-9000-
9029,变更扶养关系纠纷,9029-9027-9013-9012-9000-
9030,赡养纠纷,9030-9013-9012-9000-
9031,赡养费纠纷,9031-9030-9013-9012-9000-
9032,变更赡养关系纠纷,9032-9030-9013-9012-9000-
9033,收养关系纠纷,9033-9013-9012-9000-
9034,确认收养关系纠纷,9034-9033-9013-9012-9000-
9035,解除收养关系纠纷,9035-9033-9013-9012-9000-
9036,监护权纠纷,9036-9013-9012-9000-
9037,探望权纠纷,9037-9013-9012-9000-
9038,分家析产纠纷,9038-9013-9012-9000-
9039,继承纠纷,9039-9012-9000-
9040,法定继承纠纷,9040-9039-9012-9000-
9041,转继承纠纷,9041-9040-9039-9012-9000-
9042,代位继承纠纷,9042-9040-9039-9012-9000-
9043,遗嘱继承纠纷,9043-9039-9012-9000-
9044,被继承人债务清偿纠纷,9044-9039-9012-9000-
9045,遗赠纠纷,9045-9039-9012-9000-
9046,遗赠扶养协议纠纷,9046-9039-9012-9000-
9047,物权纠纷,9047-9000-
9048,不动产登记纠纷,9048-9047-9000-
9049,异议登记不当损害责任纠纷,9049-9048-9047-9000-
9050,虚假登记损害责任纠纷,9050-9048-9047-9000-
9051,物权保护纠纷,9051-9047-9000-
9052,物权确认纠纷,9052-9051-9047-9000-
9053,所有权确认纠纷,9053-9052-9051-9047-9000-
9054,用益物权确认纠纷,9054-9052-9051-9047-9000-
9055,担保物权确认纠纷,9055-9052-9051-9047-9000-
9056,返还原物纠纷,9056-9051-9047-9000-
9057,排除妨害纠纷,9057-9051-9047-9000-
9058,消除危险纠纷,9058-9051-9047-9000-
9059,修理、重作、更换纠纷,9059-9051-9047-9000-
9060,恢复原状纠纷,9060-9051-9047-9000-
9061,财产损害赔偿纠纷,9061-9051-9047-9000-
9062,所有权纠纷,9062-9047-9000-
9063,侵害集体经济组织成员权益纠纷,9063-9062-9047-9000-
9064,建筑物区分所有权纠纷,9064-9062-9047-9000-
9065,业主专有权纠纷,9065-9064-9062-9047-9000-
9066,业主共有权纠纷,9066-9064-9062-9047-9000-
9067,车位纠纷,9067-9064-9062-9047-9000-
9068,车库纠纷,9068-9064-9062-9047-9000-
9069,业主撤销权纠纷,9069-9062-9047-9000-
9070,业主知情权纠纷,9070-9062-9047-9000-
9071,遗失物返还纠纷,9071-9062-9047-9000-
9072,漂流物返还纠纷,9072-9062-9047-9000-
9073,埋藏物返还纠纷,9073-9062-9047-9000-
9074,隐藏物返还纠纷,9074-9062-9047-9000-
9075,相邻关系纠纷,9075-9062-9047-9000-
9076,相邻用水、排水纠纷,9076-9075-9062-9047-9000-
